id,movie_title,overview,director,actor_1,actor_2,actor_3,genres,popularity,year,vote_average,vote_count,describe
451920.0,mumbai se aaya mera dost,A man's (Abhishek Bachchan) innocent gift to his grandfather sparks a power struggle in a village that recently received electricity.,Apoorva Agnihotri,Abhishek Bachchan,Lara Dutta,unknown,Adventure Romance Action,0.931,2003,3.3,3.0,Abhishek Bachchan Lara Dutta unknown Apoorva Agnihotri Adventure Romance Action 0.931
19625.0,munna bhai m.b.b.s.,A gangster sets out to fulfill his father's dream of becoming a doctor.,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh,Comedy Drama,6.814,2003,7.3,209.0,Sanjay Dutt Arshad Warsi Gracy Singh Rajkumar Hirani Comedy Drama 6.814
361410.0,nayee padosan,"Three young men, who are all of marriageable age, gets their hopes up on marriage, when a beautiful young woman comes to live in their neighborhood. Her name is Pooja Iyengar. All three of them try a hand at romancing her, and only one succeeds, that being Raju. The only problem is that while Raju is Gujerati, Pooja is Madrasi from the Iyengar community, and her dad, Shashtri, will not permit her to marry anyone outside his community, leave alone a Gujerati, and proceeds to get Pooja to get married to Prabhu, a young man from the Iyengar community, with hilarious results.",B. H. Tharun Kumar,Mahek Chahal,Vikas Kalantri,Anuj Sawhney,Comedy,1.4,2003,,,Mahek Chahal Vikas Kalantri Anuj Sawhney B. H. Tharun Kumar Comedy 1.4
101832.0,om,"Om lives in Bombay, India, in a small apartment with mother and sister. Om and his mother are of very conservative taste, when it comes to wearing clothes, however, the sister is not. This gets her in trouble, and she is raped and killed. The police register this case as that of a suicide, and produce a note purportedly written by her that blames her mom and brother for her death. Om's girlfriend, Sandali, comes to know that his sister's death was a homicide, and this sets Om off in a wild rage to find out who the killer(s) are, and why they would commit this heinous crime; and the role of the police who claim that her death was a suicide",Ashok Honda,Attin Bhalla,Sandali Sinha,Pankaj Dheer,Drama Romance,1.021,2003,5.3,2.0,Attin Bhalla Sandali Sinha Pankaj Dheer Ashok Honda Drama Romance 1.021
198727.0,pinjar,"In the days leading up to Partition, a Hindu woman is abducted by a Muslim man. Soon, she finds herself not only forced into marriage, but living in a new country as the borders between India and Pakistan are drawn",Chandrakant Dwivedi,Urmila Matondkar,Manoj Bajpai,Sanjay Suri,Drama Romance Music,1.426,2003,7.4,7.0,Urmila Matondkar Manoj Bajpai Sanjay Suri Chandrakant Dwivedi Drama Romance Music 1.426
138510.0,praan jaye par shaan na jaye,"Aman Joshi (Aman Verma) is on a research assignment. His subject is the chawl dwellers in Bombay City. He rents a small tenement there and talks to the people living there. He soon gets involved in their lives, and even gets attracted to plain-looking Saundarya (Divya Mirza), who he transforms into a beauty, after a cosmetic makeover. Aman's kindness is mistaken for generosity by all the chawl dwellers, and they swarm him for his money, trying to get loans and gifts, to improve their lives. Then the lives of this small community are turned upside down, when the owner announces that he intends to tear the building down.",Sanjay Manjerekar,Aman Verma,Rinke Khanna,Raveena Tandon,Drama,0.663,2003,7.0,1.0,Aman Verma Rinke Khanna Raveena Tandon Sanjay Manjerekar Drama 0.663
318484.0,qayamat: city under threat,"CBI Officer Akram Sheikh is on the verge of nabbing three dreaded Pakistan-backed arms dealers, the brothers Ali and Abbas and their common moll Laila. When Sheikh busts an important arms deal conducted by his three targets, Ali-Abbas join forces with Gopal, a corrupt scientist to get hold of a deadly virus and take the tourists at the Elphinstone Jail resort as hostage. Akram Sheikh is now compelled to get help from Rachit, a criminal serving jail time who was a former associate of Ali-Abbas and the only person in history to have successfully escaped the Elphinstone jail . Along with a commando team, they try to pull off a rescue attempt by breaking in the jail and rescuing the hostages.",Harry Baweja,Ajay Devgn,Sunil Shetty,Sanjay Kapoor,Action Crime Drama Romance,0.6,2003,5.3,16.0,Ajay Devgn Sunil Shetty Sanjay Kapoor Harry Baweja Action Crime Drama Romance 0.6
161816.0,raghu romeo,"Ankur Goyal is a guileless 30-year-old waiter henpecked by his mother and by the boss who seldom pays him. In his naivete, Raghu thinks he must protect the virtue of that joint's floozies from grabby clients, especially Sweety, a hitman's honey whose cynical surface masks a soft spot for the clueless hero. But he only has eyes for Neeta, a quintessential TV-soap suffering-heroine played by not-so-nice Reshma.  Unable to distinguish between reel and real life, Raghu kidnaps the terrified actress and takes her to the countryside house of Sweety. Turns out she is on the hit-list.",Rajat Kapoor,Vijay Raaz,Sadiya Siddiqui,unknown,Comedy,0.6,2003,5.0,4.0,Vijay Raaz Sadiya Siddiqui unknown Rajat Kapoor Comedy 0.6
290239.0,raja bhaiya,"""Raja Bhaiya"" is a story of a small town boy called Raja, who under the influence of a Sadhu has taken the vow, never to get married. His mother meets a girl called Pratibha who was about to die in a train accident, an brings her home. Raja opposes her entry and tries to do all possible act to make her run away from the house, but he fails all the times. Raja's mother decides to get them married. Raja opposes an threatens to run away from home. Will they get married soon?",Raman Kumar,Govinda,Aarti Chhabria,unknown,Comedy,0.665,2003,,,Govinda Aarti Chhabria unknown Raman Kumar Comedy 0.665
604767.0,saaya,"After his wife dies, a doctor keeps seeing her image and refuses to believe she is dead.",Anurag Basu,John Abraham,Tara Sharma,Mahima Chaudhry,Horror,1.34,2003,,,John Abraham Tara Sharma Mahima Chaudhry Anurag Basu Horror 1.34
276056.0,sssshhh...,"After her sister is brutally murdered, bubbly younger sibling Mahek (Tanisha) withdraws from her friends and family into a protective shell. The only boy she's remotely drawn to is a college student who's much like Mahek is now -- shy and introverted. Things seem to be proceeding smoothly between the two, until one day when Mahek is attacked by a man in a joker's mask who seems intent on murdering her.",Pawan S. Kaul,Karan Nath,Dino Morea,Tanishaa Mukerji,Thriller Horror,0.6,2003,3.8,2.0,Karan Nath Dino Morea Tanishaa Mukerji Pawan S. Kaul Thriller Horror 0.6
